node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
56,5.7.1 求广义表的深度,4,"广义表的深度是嵌套的最大层数,空表深度为1。原子深度为0,子表深度为各子表深度最大值加1。","深度定义 | 原子深度 | 子表深度 | 递归求解","广义表深度 | 递归求深度","depth(ls) = 1 若ls为空表 | depth(ls) = 0 若ls为原子 | depth(ls) = max{depth(sub_i)} + 1","空表深度是0还是1搞混;多层嵌套时最大深度计算错误","不涉及广义表的复制和建立;不涉及广义表的存储结构;不涉及非递归算法","广义表定义与递归概念"
57,5.7.2 复制广义表,4,"复制广义表需递归复制每个节点,原子直接复制,子表递归复制其头尾。确保完全独立的副本。","递归复制 | 原子复制 | 子表复制 | 深拷贝","广义表复制 | 深拷贝(Deep Copy)",,"浅拷贝与深拷贝混淆;复制过程中指针指向原表节点导致共享","不涉及广义表的深度计算和建立;不涉及广义表的存储结构;不涉及非递归实现","广义表存储结构与递归"
58,5.7.3 建立广义表的存储结构,4,"从广义表的书写形式(如(a,(b,c)))解析并建立链式存储结构。需处理嵌套括号和逗号分隔。","字符串解析 | 嵌套处理 | 括号匹配 | 节点创建","广义表建立 | 字符串解析",,"括号匹配处理出错;嵌套层级追踪错误;原子与子表的判断逻辑不正确","不涉及广义表的深度计算和复制;不涉及广义表的存储结构;不涉及递归算法","广义表定义与字符串处理"
60,6.1 树的定义和基本术语,3,"树是n个节点的有限集,有且仅有一个根节点,其余节点分为互不相交的子集(子树)。是重要的非线性结构。","根节点 | 子树 | 叶子节点 | 度 | 层次","树(Tree) | 根(Root) | 叶子(Leaf) | 度(Degree) | 层次(Level) | 深度 | 高度 | 双亲 | 孩子",,"树的定义中n可以为0(空树)容易忽略;度的定义(节点的子树个数)搞混;叶子节点是度为0的节点","不涉及树的存储结构;不涉及二叉树;不涉及树的遍历和应用","线性表的概念"
61,6.2 二叉树,3,"二叉树是每个节点最多有两个子树的树结构,左右子树有序。是树形结构的基础,有丰富的性质和应用。","左子树 | 右子树 | 有序结构 | 五种基本形态","二叉树(Binary Tree) | 左孩子(Left Child) | 右孩子(Right Child)",,"二叉树与度为2的树混淆;二叉树的左右子树不可交换","不涉及二叉树的具体定义和性质;不涉及二叉树的存储和遍历;不涉及树的其他结构","树的基本定义与术语"
62,6.2.1 二叉树的定义,4,"二叉树是n个节点的有限集,或是空集,或由根节点和左右子树(均为二叉树)组成。有五种基本形态。","空二叉树 | 单节点 | 左子树 | 右子树 | 五种形态","二叉树定义 | 五种基本形态",,"将二叉树等同于度为2的树;不理解左右子树的区分意义","不涉及二叉树的性质;不涉及二叉树的存储和遍历;不涉及树的其他结构","树的定义与二叉树概念引入"
63,6.2.2 二叉树的性质,3,"二叉树有重要数学性质:第i层最多2^(i-1)个节点;深度k最多2^k-1个节点;叶节点数=度2节点数+1等。","节点数上界 | 满二叉树 | 完全二叉树 | 叶度关系","性质1: n0=n2+1 | 性质2: 第i层最多2^(i-1) | 性质3: 深度k最多2^k-1","n0 = n2 + 1 | 第i层最多 2^(i-1) 个节点 | 深度为k的二叉树最多 2^k - 1 个节点","n0=n2+1的证明过程不理解;满二叉树与完全二叉树的区别搞混","不涉及二叉树的存储和遍历;不涉及完全二叉树的顺序存储;不涉及二叉树的应用","二叉树定义与计数基础"
64,6.2.3 二叉树的存储结构,3,"二叉树有顺序存储和链式存储两种方式。链式存储(二叉链表、三叉链表)更常用。","顺序存储 | 链式存储 | 二叉链表 | 三叉链表 | 空指针","顺序存储 | 二叉链表(Binary Linked List) | 三叉链表 | 空指针个数","具有n个节点的二叉链表中,空指针数 = n+1",,"顺序存储仅适用于完全二叉树;二叉链表中空指针个数计算错误","不涉及二叉树的遍历和线索化;不涉及树的存储结构;不涉及二叉树的应用","二叉树定义与链表基础"
65,6.3 遍历二叉树和线索二叉树,3,"遍历是按某种顺序访问所有节点,有先序、中序、后序和层次遍历。线索二叉树利用空指针存储遍历信息。","先序遍历 | 中序遍历 | 后序遍历 | 层次遍历 | 线索化","遍历(Traversal) | 先序(Preorder) | 中序(Inorder) | 后序(Postorder) | 线索(Thread)",,"四种遍历顺序搞混;线索二叉树的线索指向规则出错","不涉及二叉树的定义和存储结构;不涉及树和森林的遍历;不涉及二叉树的应用","二叉树定义与存储结构"
66,6.3.1 遍历二叉树,4,"先序:根→左→右;中序:左→根→右;后序:左→右→根;层次:按层从上到下从左到右。递归或非递归实现。","递归遍历 | 非递归遍历 | 栈辅助 | 队列辅助","先序遍历 | 中序遍历 | 后序遍历 | 层次遍历",,"递归实现与非递归实现的逻辑混淆;由先序+中序或后序+中序唯一确定二叉树的方法掌握不牢","不涉及线索二叉树;不涉及树和森林的遍历;不涉及二叉树的应用","二叉树定义与递归/栈/队列概念"
67,6.3.2 线索二叉树,4,"利用n+1个空指针域存放前驱和后继信息,线索化后可不需栈实现遍历。ltag/rtag标记指针类型。","线索化 | ltag/rtag | 前驱线索 | 后继线索","线索二叉树(Threaded Binary Tree) | ltag | rtag | 中序线索化",,"线索二叉树的线索指向规则不清晰;ltag=0表示孩子还是线索搞混","不涉及二叉树的遍历算法细节;不涉及树和森林;不涉及二叉树的应用","二叉树遍历与存储结构"
68,6.4 树和森林,3,"森林是m棵互不相交的树的集合。树与二叉树可相互转换,森林也可转换为二叉树。","树→二叉树 | 森林→二叉树 | 左孩子右兄弟","树(Tree) | 森林(Forest) | 左孩子右兄弟表示法",,"树到二叉树转换的对应关系不理解;森林转换后根节点的处理出错","不涉及树和森林的具体存储结构;不涉及遍历;不涉及等价问题和赫夫曼树","树的定义与二叉树基础"
69,6.4.1 树的存储结构,4,"树有双亲表示法、孩子表示法、孩子兄弟表示法(左孩子右兄弟)等存储方式。","双亲表示法 | 孩子表示法 | 孩子兄弟表示法","双亲表示法 | 孩子表示法 | 孩子兄弟表示法(Left-Child Right-Sibling)",,"三种存储方式的适用场景搞混;孩子兄弟表示法与二叉树的关系理解不清","不涉及树的遍历和应用;不涉及森林的存储;不涉及二叉树的存储","树的定义与线性表/链表"
70,6.4.2 森林与二叉树的转换,4,"将森林中每棵树转换为二叉树(左孩子右兄弟),再将后续树的根作为前一棵树根的右孩子。","转换规则 | 左孩子右兄弟 | 根的右孩子","森林→二叉树转换",,"转换后二叉树根节点的确定出错;左孩子右兄弟的对应关系搞混","不涉及树的存储结构;不涉及遍历;不涉及赫夫曼树和等价问题","树与二叉树的转换基础"
71,6.4.3 树和森林的遍历,4,"树的遍历有先根遍历和后根遍历。森林的遍历对应二叉树的先序和中序遍历。","先根遍历 | 后根遍历 | 森林遍历映射","先根遍历 | 后根遍历 | 森林遍历",,"先根/后根遍历与二叉树遍历的对应关系搞混;森林遍历的递归终止条件出错","不涉及二叉树的遍历算法;不涉及线索二叉树;不涉及树的存储结构","树的定义与二叉树遍历"
72,6.5 树与等价问题,3,"利用等价关系构造等价类,可用并查集(Union-Find)在树上实现,支持合并和查找操作。","等价关系 | 等价类 | 并查集 | 合并 | 查找","等价关系(Equivalence Relation) | 并查集(Union-Find) | 等价类",,"等价关系的自反、对称、传递性混淆;并查集的合并和查找操作不理解","不涉及树的定义和存储;不涉及二叉树;不涉及赫夫曼树","集合与关系的基本概念"
73,6.6 赫夫曼树及其应用,3,"赫夫曼树是带权路径长度最小的二叉树(最优二叉树),用于构造赫夫曼编码实现数据压缩。","赫夫曼树 | 赫夫曼编码 | 带权路径长度 | 贪心算法","赫夫曼树(Huffman Tree) | 带权路径长度(WPL) | 赫夫曼编码","WPL = Σ(wi × li), wi为权值, li为路径长度","赫夫曼树不一定唯一;赫夫曼编码不一定是前缀编码的理解有误","不涉及二叉树的一般性质;不涉及树的遍历;不涉及等价问题","二叉树定义与权值概念"
74,6.6.1 最优二叉树(赫夫曼树),4,"从n个带权叶子构造,每次取两个权值最小的节点合并,重复直到只剩一个根节点。路径长度最短。","构造步骤 | 合并 | 选最小 | 贪心策略","赫夫曼树构造 | 贪心算法(Greedy Algorithm)",,"构造过程中新节点权值计算出错;合并顺序不正确导致非最优解","不涉及赫夫曼编码;不涉及二叉树的一般性质;不涉及树的遍历","二叉树与权值概念"
75,6.6.2 赫夫曼编码,4,"对赫夫曼树左分支编码0右分支编码1,得到前缀编码。用于数据压缩,出现频率高的字符编码短。","前缀编码 | 0/1编码 | 压缩编码 | 频率","赫夫曼编码(Huffman Coding) | 前缀编码(Prefix Code)",,"赫夫曼编码不一定是前缀编码的误解;编码长度与字符频率的对应关系搞混","不涉及赫夫曼树的构造;不涉及二叉树的一般性质;不涉及数据压缩的其他方法","赫夫曼树构造与编码原理"
76,6.7 回溯法与树的遍历,3,"回溯法按深度优先策略搜索解空间树,在当前路径不满足约束时回退。树的遍历是回溯的基础。","回溯 | 深度优先 | 约束条件 | 剪枝","回溯法(Backtracking) | 解空间树 | 剪枝(Pruning)",,"回溯与递归的区别不理解;剪枝策略不当导致效率低下","不涉及二叉树的具体遍历算法;不涉及赫夫曼树;不涉及具体问题的回溯实现","树的遍历与递归思想"
77,6.8 树的计数,3,"计算具有n个节点的不同形态二叉树的数量,使用Catalan数公式。n个节点的不同二叉树有C(n)种。","Catalan数 | 不同形态 | 计数公式","C(n) = C(2n,n)/(n+1) (Catalan数)","C(n) = C(2n,n)/(n+1)","Catalan数公式记忆错误;混淆二叉树计数与树计数","不涉及二叉树的遍历和存储;不涉及赫夫曼树;不涉及等价问题","二叉树定义与组合数学基础"
