node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
701,8.3.5 H.323,4,H.323是ITU-T制定的多媒体通信标准，用于IP电话和视频会议,H.323 | 网关 | 网守 | 多点控制 | 信令协议,8.3.5 H.323,[],H.323是唯一VoIP标准,H.323比SIP简单,已理解RTCP协议
702,8.3.6 会话发起协议SIP,4,SIP是IETF制定的应用层信令协议，用于建立和终止多媒体会话,SIP | INVITE | ACK | BYE | 注册,8.3.6 会话发起协议SIP,[],SIP是传输层协议,SIP仅用于视频会议,已掌握H.323协议
703,"8.4 改进""尽最大努力交付""的服务",3,通过QoS机制为音视频等实时应用提供更好的网络服务质量,QoS | 服务质量 | 调度 | 管制 | 流量整形,"8.4 改进""尽最大努力交付""的服务",[],QoS保证零丢包,DiffServ需要复杂信令,已掌握实时传输协议
704,8.4.1 使互联网提供服务质量,4,QoS通过资源预留、流量工程等技术改善网络服务质量,资源预留 | 流量工程 | 优先级 | 带宽保证 | 延迟控制,8.4.1 使互联网提供服务质量,[],QoS可解决所有网络问题,QoS增加网络复杂度,已理解QoS基本概念
705,8.4.2 调度和管制机制,4,调度机制决定数据包发送顺序，管制机制限制流量速率,FIFO | 优先级队列 | 加权公平队列 | 令牌桶 | 漏桶,8.4.2 调度和管制机制,[],调度与管制功能相同,不涉及8.4.2 调度和管制机制的具体实现细节和扩展应用,已掌握QoS技术
706,8.4.3 综合服务IntServ与资源预留协议RSVP,4,IntServ通过RSVP预留网络资源，提供端到端QoS,IntServ | RSVP | 资源预留 | 流量规范 | 服务类别,8.4.3 综合服务IntServ与资源预留协议RSVP,[],IntServ可扩展性好,RSVP只预留单向资源,已理解调度管制机制
707,8.4.4 区分服务DiffServ,4,DiffServ通过DSCP标记区分不同服务等级，比IntServ可扩展,DiffServ | DSCP | PHB | 边界节点 | 核心网络,8.4.4 区分服务DiffServ,[],DiffServ提供端到端保证,DiffServ需要RSVP,已掌握IntServ技术
709,9.1 无线局域网WLAN,3,WLAN使用无线方式组建局域网，典型标准为802.11系列,802.11 | AP | STA | BSS | ESS,9.1 无线局域网WLAN,[],WLAN与有线LAN技术完全相同,WLAN无覆盖范围限制,已理解无线网络基本概念
710,9.1.1 无线局域网的组成,4,WLAN由接入点AP和站点STA组成，支持基础设施和自组织模式,AP | STA | BSS | ESS | DS,9.1.1 无线局域网的组成,[],AP等同于路由器,不涉及9.1.1 无线局域网的组成的具体实现细节和扩展应用,已掌握WLAN概述
711,9.1.2 802.11局域网的物理层,4,802.11定义了多种物理层标准，支持不同频段和速率,2.4GHz | 5GHz | OFDM | DSSS | FHSS,9.1.2 802.11局域网的物理层,[],802.11只有一个频段,802.11速率无限提升,已理解WLAN组成
712,9.1.3 802.11局域网的MAC层协议,4,802.11使用CSMA/CA避免碰撞，与以太网CSMA/CD不同,CSMA/CA | RTS/CTS | ACK | DIFS | NAV,9.1.3 802.11局域网的MAC层协议,[],CSMA/CA与CSMA/CD相同,CSMA/CA可完全避免碰撞,已掌握802.11物理层
713,9.1.4 802.11局域网的MAC帧,4,802.11 MAC帧包含控制、管理和数据帧三种类型,帧控制 | 持续时间 | 地址 | 序列控制 | FCS,9.1.4 802.11局域网的MAC帧,[],802.11帧格式与以太网相同,802.11帧最大长度无限制,已理解CSMA/CA协议
714,9.2 无线个人区域网WPAN,3,WPAN用于短距离设备间通信，典型技术为蓝牙,蓝牙 | ZigBee | 短距离 | 低功耗 | 个人区域,9.2 无线个人区域网WPAN,[],WPAN与WLAN技术相同,WPAN覆盖范围超过100米,已掌握无线局域网
715,9.3 无线城域网WMAN,3,WMAN提供城域范围的无线宽带接入，典型标准为WiMAX,WiMAX | 城域覆盖 | 宽带接入 | IEEE 802.16 | 移动性,9.3 无线城域网WMAN,[],WMAN与WLAN技术相同,不涉及9.3 无线城域网WMAN的具体实现细节和扩展应用,已理解WPAN技术
716,9.4 蜂窝移动通信网,3,蜂窝移动通信使用小区划分实现大范围无线覆盖和移动支持,小区 | 切换 | 漫游 | 基站 | 移动管理,9.4 蜂窝移动通信网,[],蜂窝网无小区概念,不涉及9.4 蜂窝移动通信网的具体实现细节和扩展应用,已掌握无线城域网
717,9.4.1 蜂窝无线通信技术简介,4,蜂窝通信从1G发展到5G，每代技术在速率和功能上显著提升,1G | 2G | 3G | 4G | 5G,9.4.1 蜂窝无线通信技术简介,[],所有代际技术功能相同,不涉及9.4.1 蜂窝无线通信技术简介的具体实现细节和扩展应用,已理解蜂窝移动通信概念
718,9.4.2 移动IP,4,移动IP使移动设备在切换网络时保持IP地址不变,归属代理 | 外地代理 | 转交地址 | 隧道 | 注册,9.4.2 移动IP,[],移动IP改变源IP地址,移动IP适用于所有场景,已掌握蜂窝通信技术
719,9.4.3 蜂窝移动通信网中对移动用户的路由选择,4,移动用户路由需经过归属网络和访问网络的协同,归属网络 | 访问网络 | HLR | VLR | 路由优化,9.4.3 蜂窝移动通信网中对移动用户的路由选择,[],移动用户路由与固定用户相同,HLR存储所有用户数据,已理解移动IP原理
720,9.4.4 GSM中的切换,4,GSM切换包括同一MSC内和跨MSC切换两种类型,硬切换 | 软切换 | MSC | BSC | 信令,9.4.4 GSM中的切换,[],切换过程无延迟,不涉及9.4.4 GSM中的切换的具体实现细节和扩展应用,已掌握移动路由选择
721,9.4.5 无线网络对高层协议的影响,4,无线链路的高误码率和延迟影响TCP等高层协议性能,误码率 | 延迟 | 吞吐量 | TCP拥塞控制 | 协议优化,9.4.5 无线网络对高层协议的影响,[],无线网络对高层协议无影响,TCP无需针对无线优化,已理解GSM切换机制
722,9.5 两种不同的无线上网,3,无线上网分为通过WLAN接入和通过蜂窝网络接入两种方式,WLAN接入 | 蜂窝接入 | 3G/4G/5G | 热点 | 数据套餐,9.5 两种不同的无线上网,[],两种方式技术完全相同,蜂窝上网无需SIM卡,已掌握无线网络各技术
